locationID,teeth_lost,arthritis,binge_drinking,cancer,copd,heart_disease,asthma,smoking,depression,diabetes,high_blood_pressure,high_cholesterol,physical_inactivity,obesity,short_sleep_duration,stroke
1001,12,29.7,16.6,7.1,6.8,6.2,10,15.4,24.3,11.3,37.1,31.5,25.7,38.4,37.7,3.2
1003,11.4,27.8,18.2,7.5,6.4,6,9.9,14.7,25.1,10.2,32.4,31.8,23.8,36.8,36.4,2.8
1005,27.7,31.8,13.7,6.2,9.8,8.2,11.2,21.9,23.5,16,44.1,32.8,34.9,43.8,44.6,5
1007,21.7,29.7,15.6,7.1,9.3,7.5,10.8,21.8,26.6,13.3,39.1,33.6,32.2,41.4,41.4,4
1009,16.8,29,17.1,7.5,8.8,7.3,10.6,19.5,28,11.6,35.4,33.7,29.7,37.3,37.6,3.5
1011,35.1,32.6,12.7,5.3,10.9,8.8,11.9,24.9,22.2,19.9,48.9,32.9,39.9,49.4,50.5,6.3
1013,22.8,31.5,13.8,6.3,8.9,7.4,11.4,20.4,24.1,14.8,41.8,33,34.3,45.5,43.6,4.5
1015,17.4,30.2,15.7,7,8.1,6.9,10.3,18,25.3,12.7,38,32.5,28.5,38.3,42.8,3.7
1017,17.9,31.1,14.4,6.4,9.2,7.4,11.5,20.9,25.4,14.6,41,32.5,33.7,45.4,42.6,4.4
1019,18.1,30.5,17.1,7.6,7.8,7,10.2,17.6,27,11.3,36.4,32.4,26.9,40.2,37.4,3.4
1021,23.2,28.1,16.6,7.2,7.8,6.9,10.1,15.5,25.6,11.6,36.5,32.9,27.7,36.3,34.1,3.5
1023,22.1,30.8,14.3,6.3,9.5,7.6,11.4,20.8,25.5,15.1,42.4,33,33.5,45.8,43.1,4.6
1025,19.8,30.6,14.2,6.3,9.2,7.3,11.6,20.5,25,14.9,41.8,31.9,32.9,44.4,44,4.4
1027,22.4,31.5,15.8,7.1,9.6,7.6,11.1,21.5,27.4,13.1,38.4,32.9,32.1,39.6,40.8,4
1029,21.9,30.6,16.8,7.5,9.7,7.7,10.7,20.8,28.1,12.2,36.4,33,30.7,39.4,38.4,3.9
1031,16.7,28.1,16.6,7,7.2,6.7,10.1,14.6,23.2,11.8,35.4,30.3,26.9,34.1,41.3,3.5
1033,13.1,30,16.2,7.1,8,7,10.6,18.8,26.5,12,36.8,32.5,29.2,40.9,41.6,3.6
1035,25.5,31,13.8,6.2,9,7.7,11.2,19.8,24.3,15.5,42.1,32.3,33.2,44.7,43.7,4.7
1037,13.8,30.1,15.9,6.7,8.3,7,10.9,20.3,25.3,13.2,38.2,32.1,30.8,42.8,41.9,3.9
1039,17.1,30.7,15.6,7.4,8.1,6.8,10.8,18.9,28.6,11.7,35.7,31.5,27.9,44.6,36.6,3.5
1041,18.1,29.8,15.1,6.9,8.3,7.1,10.8,20,25.7,12.9,38.1,33,30.5,40.3,40.4,3.9
1043,14.7,29.3,17.4,7.6,9.1,7.6,10.6,18.6,28.6,11.6,35.9,33.1,30.5,39.7,37.4,3.7
1045,16.1,31.7,15.7,7,8.7,7.4,10.8,18.5,25.7,13.5,38.4,33.7,29.3,44.3,39.7,4
1047,23.2,32.3,12.1,5.6,9.1,7.7,11.9,19.7,22.1,17.5,45.4,31.7,34.5,50.5,47.6,5.2
1049,20.2,31.6,15.2,7.2,11,8.5,11.1,22.5,28.4,13.8,37.2,33.9,34.1,38.9,41.1,4.4
1051,12.7,29.8,16.6,7.3,6.8,6.3,10.4,15.8,24.8,11.4,35.9,31,25.6,36.4,42.2,3.2
1053,28.6,31,14.2,6.8,9.4,7.7,11.3,21.7,26,15,41.8,31.5,32.7,43.5,46.1,4.4
1055,17.3,30.2,15.8,7.2,8.7,7.4,11,18.8,27.6,12.6,36.8,32.8,29.9,41.3,46.2,3.8
1057,26.7,31.1,15.6,7.3,10,7.9,11.3,21.8,28.1,13.2,38.9,33.4,32.2,39.2,40.5,4.1
1059,16.8,30.8,15.7,7.2,9.7,8.1,10.6,20.3,27,13.5,36.8,33,33.3,39.6,39.3,4.1
1061,18.2,30.6,16,7.5,8.7,7.6,10.6,18,28.1,12.5,36.8,33.9,30.2,38.2,41.2,3.9
1063,31.4,33.3,11,5.3,10.5,8,12.8,23.9,22.8,19.4,50.4,32.7,39.9,51,51,6
1065,25.3,31.3,12.9,5.9,8.7,7.4,11.6,18.6,23.2,15.6,43.7,32,32,44.4,44.9,4.6
1067,11.4,30.5,15.6,6.7,9.9,7.6,11.4,21.5,27,13.7,38.2,32.6,32.8,38.3,42.6,4.3
1069,16.5,28.5,14.7,7,8.5,7.2,11.2,18.8,25.6,13,39.2,31.2,29.5,37.5,40.4,3.9
1071,18.7,31,16.4,7.4,10,7.9,11,20.7,28.6,12.4,35.9,33.5,31.1,38.6,42.1,4.1
1073,14.5,28.8,14.8,6.5,6.7,6.5,10.6,15,23.6,12.9,39.2,31.4,26.5,39.7,38.4,3.7
1075,21.7,30.6,16.4,7.3,8.8,7.2,10.7,19,27.1,12,37,32.5,28.9,38.3,39.5,3.7
1077,15.6,28.5,16.5,7.5,7.3,6.4,10.3,16.3,26.2,10.8,35.6,33.5,25.5,36.5,41.4,3.2
1079,22.4,31.6,16.7,7.2,9.5,7.6,11.2,20.5,27.6,13.1,37.7,32.6,30.1,40.7,39.9,4.1
1081,13.3,28.5,15.8,6.9,6.9,6.4,10,15.9,24.6,11.9,36.6,30.9,26.5,35.2,37.5,3.4
1083,14.6,27.2,16.3,7.3,6.7,6.2,10.1,15.5,24.2,11.2,34.6,32.4,24.4,35.8,39.8,3.1
1085,28.8,32.8,12.4,5.4,9.6,7.9,12,21.9,22.3,18.4,47.9,31.5,36.2,49.6,49.5,5.5
1087,25.5,30.9,12.1,5.1,8.8,7.5,11.9,19.2,21.7,17.7,46.2,31.6,35.1,47.7,44.7,5.3
1089,10.9,25.2,16.2,7.1,6,5.9,10.1,13.8,23.6,11,35.1,31.6,21.7,35.7,38.4,3
1091,20.4,31.1,13.7,6,9.1,7.4,11.4,19.9,24.4,15.4,43.6,32.9,32.7,46.1,43.9,4.6
